species,authors,dates,pages,dois,access dates,status,order,family,common_name
Abeillia abeillei,BirdLife International,2022,e.T22687170A167041523,,7 February 2025,LC,Caprimulgiformes,Trochilidae,Emerald-chinned Hummingbird
Abroscopus albogularis,BirdLife International,2024,e.T22715451A264188832,10.2305/IUCN.UK.2024-2.RLTS.T22715451A264188832.en,7 February 2025,LC,Passeriformes,Scotocercidae,Rufous-faced Warbler
Abroscopus schisticeps,BirdLife International,2024,e.T22715454A263817053,10.2305/IUCN.UK.2024-2.RLTS.T22715454A263817053.en,7 February 2025,LC,Passeriformes,Scotocercidae,Black-faced Warbler
Abroscopus superciliaris,BirdLife International,2024,e.T22731005A264174465,10.2305/IUCN.UK.2024-2.RLTS.T22731005A264174465.en,7 February 2025,LC,Passeriformes,Scotocercidae,Yellow-bellied Warbler
Aburria aburri,BirdLife International,2023,e.T22678440A221519295,10.2305/IUCN.UK.2023-1.RLTS.T22678440A221519295.en,7 February 2025,LC,Galliformes,Cracidae,Wattled Guan
Acanthagenys rufogularis,BirdLife International,2024,e.T22704451A253974643,10.2305/IUCN.UK.2024-2.RLTS.T22704451A253974643.en,7 February 2025,LC,Passeriformes,Meliphagidae,Spiny-cheeked Honeyeater
Acanthidops bairdi,BirdLife International,2021,e.T22723128A137106413,10.2305/IUCN.UK.2021-3.RLTS.T22723128A137106413.en,7 February 2025,LC,Passeriformes,Thraupidae,Peg-billed Finch
Acanthis flammea,BirdLife International,2019,e.T22725044A155292529,10.2305/IUCN.UK.2018-2.RLTS.T22725044A155292529.en,7 February 2025,LC,Passeriformes,Fringillidae,Redpoll
Acanthisitta chloris,BirdLife International,2024,e.T22698577A264097446,10.2305/IUCN.UK.2024-2.RLTS.T22698577A264097446.en,7 February 2025,LC,Passeriformes,Acanthisittidae,Rifleman
Acanthiza apicalis,BirdLife International,2024,e.T22731025A253980766,10.2305/IUCN.UK.2024-2.RLTS.T22731025A253980766.en,7 February 2025,LC,Passeriformes,Acanthizidae,Inland Thornbill
Acanthiza chrysorrhoa,BirdLife International,2024,e.T22704647A253984557,10.2305/IUCN.UK.2024-2.RLTS.T22704647A253984557.en,7 February 2025,LC,Passeriformes,Acanthizidae,Yellow-rumped Thornbill
Acanthiza cinerea,BirdLife International,2024,e.T22704665A264402426,10.2305/IUCN.UK.2024-2.RLTS.T22704665A264402426.en,7 February 2025,LC,Passeriformes,Acanthizidae,Grey Thornbill
Acanthiza ewingii,BirdLife International,2024,e.T22704635A253975889,10.2305/IUCN.UK.2024-2.RLTS.T22704635A253975889.en,7 February 2025,LC,Passeriformes,Acanthizidae,Tasmanian Thornbill
Acanthiza inornata,BirdLife International,2024,e.T22704641A253984369,10.2305/IUCN.UK.2024-2.RLTS.T22704641A253984369.en,7 February 2025,LC,Passeriformes,Acanthizidae,Western Thornbill
Acanthiza iredalei,BirdLife International,2024,e.T22704644A253984184,10.2305/IUCN.UK.2024-2.RLTS.T22704644A253984184.en,7 February 2025,LC,Passeriformes,Acanthizidae,Slender-billed Thornbill
Acanthiza katherina,BirdLife International,2022,e.T22704627A211281981,10.2305/IUCN.UK.2022-1.RLTS.T22704627A211281981.en,7 February 2025,VU,Passeriformes,Acanthizidae,Mountain Thornbill
Acanthiza lineata,BirdLife International,2024,e.T22704656A253983030,10.2305/IUCN.UK.2024-2.RLTS.T22704656A253983030.en,7 February 2025,LC,Passeriformes,Acanthizidae,Striated Thornbill
Acanthiza murina,BirdLife International,2024,e.T22704624A264401120,10.2305/IUCN.UK.2024-2.RLTS.T22704624A264401120.en,7 February 2025,LC,Passeriformes,Acanthizidae,New Guinea Thornbill
Acanthiza nana,BirdLife International,2024,e.T22704653A253983614,10.2305/IUCN.UK.2024-2.RLTS.T22704653A253983614.en,7 February 2025,LC,Passeriformes,Acanthizidae,Yellow Thornbill
Acanthiza pusilla,BirdLife International,2024,e.T22704630A253977169,10.2305/IUCN.UK.2024-2.RLTS.T22704630A253977169.en,7 February 2025,LC,Passeriformes,Acanthizidae,Brown Thornbill
Acanthiza reguloides,BirdLife International,2024,e.T22704638A253976641,10.2305/IUCN.UK.2024-2.RLTS.T22704638A253976641.en,7 February 2025,LC,Passeriformes,Acanthizidae,Buff-rumped Thornbill
Acanthiza robustirostris,BirdLife International,2024,e.T22704659A253980422,10.2305/IUCN.UK.2024-2.RLTS.T22704659A253980422.en,7 February 2025,LC,Passeriformes,Acanthizidae,Slaty-backed Thornbill
Acanthiza uropygialis,BirdLife International,2024,e.T22704650A253982383,10.2305/IUCN.UK.2024-2.RLTS.T22704650A253982383.en,7 February 2025,LC,Passeriformes,Acanthizidae,Chestnut-rumped Thornbill
Acanthoptila nipalensis,BirdLife International,2018,e.T22716338A131973007,10.2305/IUCN.UK.2018-2.RLTS.T22716338A131973007.en,7 February 2025,LC,Passeriformes,Leiotrichidae,Spiny Babbler
Acanthorhynchus superciliosus,BirdLife International,2024,e.T22704424A253971661,10.2305/IUCN.UK.2024-2.RLTS.T22704424A253971661.en,7 February 2025,LC,Passeriformes,Meliphagidae,Western Spinebill
Acanthorhynchus tenuirostris,BirdLife International,2024,e.T22704421A253971857,10.2305/IUCN.UK.2024-2.RLTS.T22704421A253971857.en,7 February 2025,LC,Passeriformes,Meliphagidae,Eastern Spinebill
Acanthornis magna,BirdLife International,2024,e.T22704585A253991389,10.2305/IUCN.UK.2024-2.RLTS.T22704585A253991389.en,7 February 2025,LC,Passeriformes,Acanthizidae,Scrubtit
Accipiter albogularis,BirdLife International,2022,e.T22695535A209008353,10.2305/IUCN.UK.2022-1.RLTS.T22695535A209008353.en,7 February 2025,LC,Accipitriformes,Accipitridae,Pied Goshawk
Accipiter badius,BirdLife International,2021,e.T22695490A197951702,,7 February 2025,LC,Accipitriformes,Accipitridae,Shikra
Accipiter bicolor,BirdLife International,2020,e.T22695669A168769390,10.2305/IUCN.UK.2020-3.RLTS.T22695669A168769390.en,7 February 2025,LC,Accipitriformes,Accipitridae,Bicolored Hawk
Accipiter brachyurus,BirdLife International,2021,e.T22695605A216248851,,7 February 2025,VU,Accipitriformes,Accipitridae,New Britain Sparrowhawk
Accipiter brevipes,BirdLife International,2021,e.T22695499A198250662,10.2305/IUCN.UK.2021-3.RLTS.T22695499A198250662.en,7 February 2025,LC,Accipitriformes,Accipitridae,Levant Sparrowhawk
Accipiter butleri,BirdLife International,2023,e.T22695494A230038665,10.2305/IUCN.UK.2023-1.RLTS.T22695494A230038665.en,7 February 2025,VU,Accipitriformes,Accipitridae,Nicobar Sparrowhawk
Accipiter castanilius,BirdLife International,2024,e.T22695486A264115363,10.2305/IUCN.UK.2024-2.RLTS.T22695486A264115363.en,7 February 2025,LC,Accipitriformes,Accipitridae,Chestnut-flanked Sparrowhawk
Accipiter cirrocephalus,BirdLife International,2022,e.T219590066A219590496,10.2305/IUCN.UK.2022-2.RLTS.T219590066A219590496.en,7 February 2025,LC,Accipitriformes,Accipitridae,Collared Sparrowhawk
Accipiter collaris,BirdLife International,2020,e.T22695568A170038077,10.2305/IUCN.UK.2020-3.RLTS.T22695568A170038077.en,7 February 2025,LC,Accipitriformes,Accipitridae,Semi-collared Hawk
Accipiter cooperii,BirdLife International,2024,e.T22695656A264598871,10.2305/IUCN.UK.2024-2.RLTS.T22695656A264598871.en,7 February 2025,LC,Accipitriformes,Accipitridae,Cooper's Hawk
Accipiter erythrauchen,BirdLife International,2016,e.T22695596A93518315,10.2305/IUCN.UK.2016-3.RLTS.T22695596A93518315.en,7 February 2025,NT,Accipitriformes,Accipitridae,Rufous-necked Sparrowhawk
Accipiter erythropus,BirdLife International,2024,e.T22695576A263735577,10.2305/IUCN.UK.2024-2.RLTS.T22695576A263735577.en,7 February 2025,LC,Accipitriformes,Accipitridae,Red-legged Sparrowhawk
Accipiter fasciatus,BirdLife International,2022,e.T219590235A219590242,10.2305/IUCN.UK.2022-2.RLTS.T219590235A219590242.en,7 February 2025,LC,Accipitriformes,Accipitridae,Brown Goshawk
Accipiter francesiae,BirdLife International,2016,e.T22695508A93513268,10.2305/IUCN.UK.2016-3.RLTS.T22695508A93513268.en,7 February 2025,LC,Accipitriformes,Accipitridae,Frances's Sparrowhawk
Accipiter gentilis,BirdLife International,2021,e.T22695683A198505113,10.2305/IUCN.UK.2021-3.RLTS.T22695683A198505113.en,7 February 2025,LC,Accipitriformes,Accipitridae,Northern Goshawk
Accipiter griseiceps,BirdLife International,2024,e.T22695465A264118192,10.2305/IUCN.UK.2024-2.RLTS.T22695465A264118192.en,7 February 2025,LC,Accipitriformes,Accipitridae,Sulawesi Goshawk
Accipiter gularis,BirdLife International,2021,e.T22695585A198774300,10.2305/IUCN.UK.2021-3.RLTS.T22695585A198774300.en,7 February 2025,LC,Accipitriformes,Accipitridae,Japanese Sparrowhawk
Accipiter gundlachi,BirdLife International,2017,e.T22695659A112104677,10.2305/IUCN.UK.2017-1.RLTS.T22695659A112104677.en,7 February 2025,EN,Accipitriformes,Accipitridae,Gundlach's Hawk
Accipiter haplochrous,BirdLife International,2024,e.T22695541A225878830,10.2305/IUCN.UK.2024-2.RLTS.T22695541A225878830.en,7 February 2025,NT,Accipitriformes,Accipitridae,White-bellied Goshawk
Accipiter henicogrammus,BirdLife International,2020,e.T22695544A176242444,10.2305/IUCN.UK.2020-3.RLTS.T22695544A176242444.en,7 February 2025,NT,Accipitriformes,Accipitridae,Moluccan Goshawk
Accipiter henstii,BirdLife International,2020,e.T22695678A173353411,10.2305/IUCN.UK.2020-3.RLTS.T22695678A173353411.en,7 February 2025,VU,Accipitriformes,Accipitridae,Henst's Goshawk
Accipiter hiogaster,BirdLife International,2016,e.T22727721A94958386,10.2305/IUCN.UK.2016-3.RLTS.T22727721A94958386.en,7 February 2025,LC,Accipitriformes,Accipitridae,Variable Goshawk
Accipiter imitator,BirdLife International,2022,e.T22695553A171994925,10.2305/IUCN.UK.2022-1.RLTS.T22695553A171994925.en,7 February 2025,NT,Accipitriformes,Accipitridae,Imitator Goshawk
Accipiter luteoschistaceus,BirdLife International,2018,e.T22695547A131936597,10.2305/IUCN.UK.2018-2.RLTS.T22695547A131936597.en,7 February 2025,VU,Accipitriformes,Accipitridae,Slaty-backed Goshawk
Accipiter madagascariensis,BirdLife International,2018,e.T22695613A129916593,10.2305/IUCN.UK.2018-2.RLTS.T22695613A129916593.en,7 February 2025,NT,Accipitriformes,Accipitridae,Madagascar Sparrowhawk
Accipiter melanochlamys,BirdLife International,2022,e.T22695532A209006604,10.2305/IUCN.UK.2022-1.RLTS.T22695532A209006604.en,7 February 2025,LC,Accipitriformes,Accipitridae,Black-mantled Goshawk
Accipiter melanoleucus,BirdLife International,2016,e.T22695673A93522165,10.2305/IUCN.UK.2016-3.RLTS.T22695673A93522165.en,7 February 2025,LC,Accipitriformes,Accipitridae,Black Sparrowhawk
Accipiter meyerianus,BirdLife International,2016,e.T22695689A93523669,10.2305/IUCN.UK.2016-3.RLTS.T22695689A93523669.en,7 February 2025,LC,Accipitriformes,Accipitridae,Meyer's Goshawk
Accipiter minullus,BirdLife International,2024,e.T22695581A263733561,10.2305/IUCN.UK.2024-2.RLTS.T22695581A263733561.en,7 February 2025,LC,Accipitriformes,Accipitridae,Little Sparrowhawk
Accipiter nanus,BirdLife International,2022,e.T22695591A207761327,10.2305/IUCN.UK.2022-1.RLTS.T22695591A207761327.en,7 February 2025,LC,Accipitriformes,Accipitridae,Dwarf Sparrowhawk
Accipiter nisus,BirdLife International,2021,e.T22695624A199751254,10.2305/IUCN.UK.2021-3.RLTS.T22695624A199751254.en,7 February 2025,LC,Accipitriformes,Accipitridae,Eurasian Sparrowhawk
Accipiter novaehollandiae,BirdLife International,2024,e.T22727714A253971282,10.2305/IUCN.UK.2024-2.RLTS.T22727714A253971282.en,7 February 2025,LC,Accipitriformes,Accipitridae,Grey Goshawk
Accipiter ovampensis,BirdLife International,2021,e.T22695619A199837007,10.2305/IUCN.UK.2021-3.RLTS.T22695619A199837007.en,7 February 2025,LC,Accipitriformes,Accipitridae,Ovambo Sparrowhawk
Accipiter poliocephalus,BirdLife International,2024,e.T22695558A264166032,10.2305/IUCN.UK.2024-2.RLTS.T22695558A264166032.en,7 February 2025,LC,Accipitriformes,Accipitridae,Grey-headed Goshawk
Accipiter poliogaster,BirdLife International,2022,e.T22695453A172068674,10.2305/IUCN.UK.2022-1.RLTS.T22695453A172068674.en,7 February 2025,NT,Accipitriformes,Accipitridae,Grey-bellied Goshawk
Accipiter princeps,BirdLife International,2024,e.T22695561A157689601,10.2305/IUCN.UK.2024-2.RLTS.T22695561A157689601.en,7 February 2025,VU,Accipitriformes,Accipitridae,New Britain Goshawk
Accipiter rhodogaster,BirdLife International,2016,e.T22695610A93519156,10.2305/IUCN.UK.2016-3.RLTS.T22695610A93519156.en,7 February 2025,LC,Accipitriformes,Accipitridae,Vinous-breasted Sparrowhawk
Accipiter rufitorques,BirdLife International,2016,e.T22695538A93514241,10.2305/IUCN.UK.2016-3.RLTS.T22695538A93514241.en,7 February 2025,LC,Accipitriformes,Accipitridae,Fiji Goshawk
Accipiter rufiventris,BirdLife International,2016,e.T22695630A93520985,10.2305/IUCN.UK.2016-3.RLTS.T22695630A93520985.en,7 February 2025,LC,Accipitriformes,Accipitridae,Rufous-breasted Sparrowhawk
Accipiter soloensis,BirdLife International,2021,e.T22695503A154677417,10.2305/IUCN.UK.2021-3.RLTS.T22695503A154677417.en,7 February 2025,LC,Accipitriformes,Accipitridae,Chinese Sparrowhawk
Accipiter striatus,BirdLife International,2024,e.T22734130A264595357,10.2305/IUCN.UK.2024-2.RLTS.T22734130A264595357.en,7 February 2025,LC,Accipitriformes,Accipitridae,Sharp-shinned Hawk
Accipiter superciliosus,BirdLife International,2020,e.T22695565A168764980,10.2305/IUCN.UK.2020-3.RLTS.T22695565A168764980.en,7 February 2025,LC,Accipitriformes,Accipitridae,Tiny Hawk
Accipiter sylvestris,BirdLife International,2024,e.T22727727A264011894,10.2305/IUCN.UK.2024-2.RLTS.T22727727A264011894.en,7 February 2025,LC,Accipitriformes,Accipitridae,Lesser Sundas Goshawk
Accipiter tachiro,BirdLife International,2024,e.T22727697A264029076,10.2305/IUCN.UK.2024-2.RLTS.T22727697A264029076.en,7 February 2025,LC,Accipitriformes,Accipitridae,African Goshawk
Accipiter toussenelii,BirdLife International,2024,e.T22727705A263645044,10.2305/IUCN.UK.2024-2.RLTS.T22727705A263645044.en,7 February 2025,LC,Accipitriformes,Accipitridae,Red-chested Goshawk
Accipiter trinotatus,BirdLife International,2024,e.T22695516A264121409,10.2305/IUCN.UK.2024-2.RLTS.T22695516A264121409.en,7 February 2025,LC,Accipitriformes,Accipitridae,Spot-tailed Goshawk
Accipiter trivirgatus,BirdLife International,2016,e.T22695462A93510676,10.2305/IUCN.UK.2016-3.RLTS.T22695462A93510676.en,7 February 2025,LC,Accipitriformes,Accipitridae,Crested Goshawk
Accipiter virgatus,BirdLife International,2021,e.T22695588A154677901,10.2305/IUCN.UK.2021-3.RLTS.T22695588A154677901.en,7 February 2025,LC,Accipitriformes,Accipitridae,Besra
Aceros nipalensis,BirdLife International,2020,e.T22682510A176267243,10.2305/IUCN.UK.2020-3.RLTS.T22682510A176267243.en,7 February 2025,VU,Bucerotiformes,Bucerotidae,Rufous-necked Hornbill
Achaetops pycnopygius,BirdLife International,2024,e.T22714641A263715473,10.2305/IUCN.UK.2024-2.RLTS.T22714641A263715473.en,7 February 2025,LC,Passeriformes,Macrosphenidae,Rockrunner
Acridotheres albocinctus,BirdLife International,2024,e.T22710943A263935955,10.2305/IUCN.UK.2024-2.RLTS.T22710943A263935955.en,7 February 2025,LC,Passeriformes,Sturnidae,Collared Myna
Acridotheres burmannicus,BirdLife International,2016,e.T103870359A94266502,10.2305/IUCN.UK.2016-3.RLTS.T103870359A94266502.en,7 February 2025,LC,Passeriformes,Sturnidae,Burmese Myna
Acridotheres cinereus,BirdLife International,2020,e.T22710940A176451306,10.2305/IUCN.UK.2020-3.RLTS.T22710940A176451306.en,7 February 2025,VU,Passeriformes,Sturnidae,Pale-bellied Myna
Acridotheres cristatellus,BirdLife International,2024,e.T22710946A263931625,10.2305/IUCN.UK.2024-2.RLTS.T22710946A263931625.en,7 February 2025,LC,Passeriformes,Sturnidae,Crested Myna
Acridotheres fuscus,BirdLife International,2024,e.T22710932A264243973,10.2305/IUCN.UK.2024-2.RLTS.T22710932A264243973.en,7 February 2025,LC,Passeriformes,Sturnidae,Jungle Myna
Acridotheres ginginianus,BirdLife International,2018,e.T22710929A131960282,10.2305/IUCN.UK.2018-2.RLTS.T22710929A131960282.en,7 February 2025,LC,Passeriformes,Sturnidae,Bank Myna
Acridotheres grandis,BirdLife International,2024,e.T103871222A263824935,10.2305/IUCN.UK.2024-2.RLTS.T103871222A263824935.en,7 February 2025,LC,Passeriformes,Sturnidae,Great Myna
Acridotheres javanicus,BirdLife International,2020,e.T103871334A176499647,10.2305/IUCN.UK.2020-3.RLTS.T103871334A176499647.en,7 February 2025,VU,Passeriformes,Sturnidae,Javan Myna
Acridotheres leucocephalus,BirdLife International,2024,e.T103870738A263915527,10.2305/IUCN.UK.2024-2.RLTS.T103870738A263915527.en,7 February 2025,LC,Passeriformes,Sturnidae,Vinous-breasted Myna
Acridotheres melanopterus,BirdLife International,2021,e.T22710909A201845082,10.2305/IUCN.UK.2021-3.RLTS.T22710909A201845082.en,7 February 2025,EN,Passeriformes,Sturnidae,Black-winged Myna
Acridotheres tristis,BirdLife International,2017,e.T22710921A111063735,10.2305/IUCN.UK.2017-1.RLTS.T22710921A111063735.en,7 February 2025,LC,Passeriformes,Sturnidae,Common Myna
Acritillas indica,BirdLife International,2016,e.T22713173A94363317,10.2305/IUCN.UK.2016-3.RLTS.T22713173A94363317.en,7 February 2025,LC,Passeriformes,Pycnonotidae,Yellow-browed Bulbul
Acrobatornis fonsecai,BirdLife International,2017,e.T22724510A111141150,10.2305/IUCN.UK.2017-1.RLTS.T22724510A111141150.en,7 February 2025,VU,Passeriformes,Furnariidae,Pink-legged Graveteiro
Acrocephalus aequinoctialis,BirdLife International,2019,e.T22714802A149571193,10.2305/IUCN.UK.2019-3.RLTS.T22714802A149571193.en,7 February 2025,EN,Passeriformes,Acrocephalidae,Kiritimati Reed-warbler
Acrocephalus agricola,BirdLife International,2017,e.T22714714A111077678,10.2305/IUCN.UK.2017-1.RLTS.T22714714A111077678.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Paddyfield Warbler
Acrocephalus arundinaceus,BirdLife International,2017,e.T104317670A111179363,10.2305/IUCN.UK.2017-1.RLTS.T104317670A111179363.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Great Reed-warbler
Acrocephalus astrolabii,BirdLife International,2024,e.T103780156A243935542,10.2305/IUCN.UK.2024-2.RLTS.T103780156A243935542.en,7 February 2025,EX,Passeriformes,Acrocephalidae,Mangareva Reed-warbler
Acrocephalus atyphus,BirdLife International,2024,e.T22714816A263725692,10.2305/IUCN.UK.2024-2.RLTS.T22714816A263725692.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Tuamotu Reed-warbler
Acrocephalus australis,BirdLife International,2022,e.T219591228A219591004,10.2305/IUCN.UK.2022-2.RLTS.T219591228A219591004.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Australasian Reed-warbler
Acrocephalus bistrigiceps,BirdLife International,2024,e.T22714709A263698617,10.2305/IUCN.UK.2024-2.RLTS.T22714709A263698617.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Black-browed Reed-warbler
Acrocephalus brevipennis,BirdLife International,2017,e.T22714852A118484641,10.2305/IUCN.UK.2017-3.RLTS.T22714852A118484641.en,7 February 2025,VU,Passeriformes,Acrocephalidae,Cape Verde Swamp-warbler
Acrocephalus caffer,BirdLife International,2020,e.T104003523A171743603,10.2305/IUCN.UK.2020-3.RLTS.T104003523A171743603.en,7 February 2025,VU,Passeriformes,Acrocephalidae,Tahiti Reed-warbler
Acrocephalus concinens,BirdLife International,2024,e.T22714719A263695602,10.2305/IUCN.UK.2024-2.RLTS.T22714719A263695602.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Blunt-winged Warbler
Acrocephalus dumetorum,BirdLife International,2017,e.T22714736A111098258,10.2305/IUCN.UK.2017-1.RLTS.T22714736A111098258.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Blyth's Reed-warbler
Acrocephalus familiaris,BirdLife International,2023,e.T22714797A222786975,10.2305/IUCN.UK.2023-1.RLTS.T22714797A222786975.en,7 February 2025,EN,Passeriformes,Acrocephalidae,Millerbird
Acrocephalus gracilirostris,BirdLife International,2024,e.T22714859A263877263,10.2305/IUCN.UK.2024-2.RLTS.T22714859A263877263.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Lesser Swamp-warbler
Acrocephalus griseldis,BirdLife International,2022,e.T22714757A216850934,10.2305/IUCN.UK.2022-2.RLTS.T22714757A216850934.en,7 February 2025,EN,Passeriformes,Acrocephalidae,Basra Reed-warbler
Acrocephalus hiwae,BirdLife International,2024,e.T103780118A242055637,10.2305/IUCN.UK.2024-2.RLTS.T103780118A242055637.en,7 February 2025,EN,Passeriformes,Acrocephalidae,Saipan Reed-warbler
Acrocephalus kerearako,BirdLife International,2024,e.T22714821A235311802,10.2305/IUCN.UK.2024-2.RLTS.T22714821A235311802.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Cook Islands Reed-warbler
Acrocephalus longirostris,BirdLife International,2019,e.T22735588A154471605,10.2305/IUCN.UK.2019-3.RLTS.T22735588A154471605.en,7 February 2025,CR,Passeriformes,Acrocephalidae,Moorea Reed-warbler
Acrocephalus luscinius,BirdLife International,2023,e.T103780078A241563797,10.2305/IUCN.UK.2023-1.RLTS.T103780078A241563797.en,7 February 2025,EX,Passeriformes,Acrocephalidae,Guam Reed-warbler
Acrocephalus melanopogon,BirdLife International,2018,e.T22714693A131328180,10.2305/IUCN.UK.2018-2.RLTS.T22714693A131328180.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Moustached Warbler
Acrocephalus mendanae,BirdLife International,2024,e.T104012371A263704633,10.2305/IUCN.UK.2024-2.RLTS.T104012371A263704633.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Southern Marquesan Reed-warbler
Acrocephalus musae,BirdLife International,2024,e.T22735592A243950218,10.2305/IUCN.UK.2024-2.RLTS.T22735592A243950218.en,7 February 2025,EX,Passeriformes,Acrocephalidae,Forster's Reed-warbler
Acrocephalus newtoni,BirdLife International,2024,e.T22714865A263875127,10.2305/IUCN.UK.2024-2.RLTS.T22714865A263875127.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Madagascar Swamp-warbler
Acrocephalus nijoi,BirdLife International,2023,e.T103780109A241570030,10.2305/IUCN.UK.2023-1.RLTS.T103780109A241570030.en,7 February 2025,EX,Passeriformes,Acrocephalidae,Aguijan Reed-warbler
Acrocephalus orientalis,BirdLife International,2024,e.T22734033A263772103,10.2305/IUCN.UK.2024-2.RLTS.T22734033A263772103.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Oriental Reed-warbler
Acrocephalus orinus,BirdLife International,2022,e.T22729551A210090585,10.2305/IUCN.UK.2022-1.RLTS.T22729551A210090585.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Large-billed Reed-warbler
Acrocephalus paludicola,BirdLife International,2022,e.T22714696A176687364,,7 February 2025,VU,Passeriformes,Acrocephalidae,Aquatic Warbler
Acrocephalus palustris,BirdLife International,2024,e.T22714741A264577010,10.2305/IUCN.UK.2024-2.RLTS.T22714741A264577010.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Marsh Warbler
Acrocephalus percernis,BirdLife International,2024,e.T104011899A263835943,10.2305/IUCN.UK.2024-2.RLTS.T104011899A263835943.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Northern Marquesan Reed-warbler
Acrocephalus rehsei,BirdLife International,2023,e.T22714791A180602274,10.2305/IUCN.UK.2023-1.RLTS.T22714791A180602274.en,7 February 2025,NT,Passeriformes,Acrocephalidae,Nauru Reed-warbler
Acrocephalus rimitarae,BirdLife International,2021,e.T22714826A171783171,10.2305/IUCN.UK.2021-3.RLTS.T22714826A171783171.en,7 February 2025,CR,Passeriformes,Acrocephalidae,Rimatara Reed-warbler
Acrocephalus rodericanus,BirdLife International,2016,e.T22714874A94431545,10.2305/IUCN.UK.2016-3.RLTS.T22714874A94431545.en,7 February 2025,NT,Passeriformes,Acrocephalidae,Rodrigues Warbler
Acrocephalus rufescens,BirdLife International,2024,e.T22714846A263731122,10.2305/IUCN.UK.2024-2.RLTS.T22714846A263731122.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Greater Swamp-warbler
Acrocephalus schoenobaenus,BirdLife International,2016,e.T22714700A87569807,10.2305/IUCN.UK.2016-3.RLTS.T22714700A87569807.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Sedge Warbler
Acrocephalus scirpaceus,BirdLife International,2024,e.T22714722A264583071,10.2305/IUCN.UK.2024-2.RLTS.T22714722A264583071.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Common Reed-warbler
Acrocephalus sechellensis,BirdLife International,2021,e.T22714882A178746590,10.2305/IUCN.UK.2021-3.RLTS.T22714882A178746590.en,7 February 2025,NT,Passeriformes,Acrocephalidae,Seychelles Warbler
Acrocephalus sorghophilus,BirdLife International,2022,e.T22714704A154735033,10.2305/IUCN.UK.2022-1.RLTS.T22714704A154735033.en,7 February 2025,CR,Passeriformes,Acrocephalidae,Streaked Reed-warbler
Acrocephalus stentoreus,BirdLife International,2022,e.T219591644A219591696,10.2305/IUCN.UK.2022-2.RLTS.T219591644A219591696.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Clamorous Reed-warbler
Acrocephalus syrinx,BirdLife International,2024,e.T22714786A263728446,10.2305/IUCN.UK.2024-2.RLTS.T22714786A263728446.en,7 February 2025,LC,Passeriformes,Acrocephalidae,Caroline Reed-warbler
Acrocephalus taiti,BirdLife International,2022,e.T22714839A218421316,10.2305/IUCN.UK.2022-2.RLTS.T22714839A218421316.en,7 February 2025,VU,Passeriformes,Acrocephalidae,Henderson Island Reed-warbler
Acrocephalus tangorum,BirdLife International,2017,e.T22728387A111223837,10.2305/IUCN.UK.2017-1.RLTS.T22728387A111223837.en,7 February 2025,VU,Passeriformes,Acrocephalidae,White-browed Reed-warbler
Acrocephalus vaughani,BirdLife International,2020,e.T22714832A180626682,10.2305/IUCN.UK.2020-3.RLTS.T22714832A180626682.en,7 February 2025,EN,Passeriformes,Acrocephalidae,Pitcairn Reed-warbler
Acrocephalus yamashinae,BirdLife International,2023,e.T103780103A241594199,10.2305/IUCN.UK.2023-1.RLTS.T103780103A241594199.en,7 February 2025,EX,Passeriformes,Acrocephalidae,Pagan Reed-warbler
Acropternis orthonyx,BirdLife International,2022,e.T22703554A216501012,10.2305/IUCN.UK.2022-2.RLTS.T22703554A216501012.en,7 February 2025,LC,Passeriformes,Rhinocryptidae,Ocellated Tapaculo
Acryllium vulturinum,BirdLife International,2024,e.T22679572A263646126,10.2305/IUCN.UK.2024-2.RLTS.T22679572A263646126.en,7 February 2025,LC,Galliformes,Numididae,Vulturine Guineafowl
Actenoides bougainvillei,BirdLife International,2022,e.T22683519A265147933,10.2305/IUCN.UK.2022-2.RLTS.T22683519A265147933.en,7 February 2025,LC,Coraciiformes,Alcedinidae,Moustached Kingfisher
Actenoides capucinus,BirdLife International,2018,e.T22726852A132030948,10.2305/IUCN.UK.2018-2.RLTS.T22726852A132030948.en,7 February 2025,NT,Coraciiformes,Alcedinidae,Black-headed Kingfisher
Actenoides concretus,BirdLife International,2022,e.T22683532A216038324,10.2305/IUCN.UK.2022-2.RLTS.T22683532A216038324.en,7 February 2025,NT,Coraciiformes,Alcedinidae,Rufous-collared Kingfisher
