species,authors,dates,pages,dois,access dates,status,order,family,common_name
Lophornis adorabilis,BirdLife International,2021,e.T22687247A167009879,10.2305/IUCN.UK.2021-3.RLTS.T22687247A167009879.en,7 February 2025,LC,Caprimulgiformes,Trochilidae,White-crested Coquette
Lophornis brachylophus,BirdLife International,2018,e.T22687196A130649157,10.2305/IUCN.UK.2018-2.RLTS.T22687196A130649157.en,7 February 2025,CR,Caprimulgiformes,Trochilidae,Short-crested Coquette
Lophornis chalybeus,BirdLife International,2023,e.T22726682A221837326,10.2305/IUCN.UK.2023-1.RLTS.T22726682A221837326.en,7 February 2025,LC,Caprimulgiformes,Trochilidae,Festive Coquette
Lophornis delattrei,BirdLife International,2021,e.T22687208A167008494,10.2305/IUCN.UK.2021-3.RLTS.T22687208A167008494.en,7 February 2025,LC,Caprimulgiformes,Trochilidae,Rufous-crested Coquette
Lophornis gouldii,BirdLife International,2021,e.T22687187A197051097,10.2305/IUCN.UK.2021-3.RLTS.T22687187A197051097.en,7 February 2025,NT,Caprimulgiformes,Trochilidae,Dot-eared Coquette
Lophornis helenae,BirdLife International,2022,e.T22687241A152197912,10.2305/IUCN.UK.2022-2.RLTS.T22687241A152197912.en,7 February 2025,LC,Caprimulgiformes,Trochilidae,Black-crested Coquette
Lophornis magnificus,BirdLife International,2024,e.T22687190A263986366,10.2305/IUCN.UK.2024-2.RLTS.T22687190A263986366.en,7 February 2025,LC,Caprimulgiformes,Trochilidae,Frilled Coquette
Lophornis ornatus,BirdLife International,2018,e.T22687181A130119414,10.2305/IUCN.UK.2018-2.RLTS.T22687181A130119414.en,7 February 2025,LC,Caprimulgiformes,Trochilidae,Tufted Coquette
Lophornis pavoninus,BirdLife International,2024,e.T22687235A264137404,10.2305/IUCN.UK.2024-2.RLTS.T22687235A264137404.en,7 February 2025,LC,Caprimulgiformes,Trochilidae,Peacock Coquette
Lophornis stictolophus,BirdLife International,2024,e.T22687211A264131074,10.2305/IUCN.UK.2024-2.RLTS.T22687211A264131074.en,7 February 2025,LC,Caprimulgiformes,Trochilidae,Spangled Coquette
Lophornis verreauxii,BirdLife International,2024,e.T22726690A264012079,10.2305/IUCN.UK.2024-2.RLTS.T22726690A264012079.en,7 February 2025,LC,Caprimulgiformes,Trochilidae,Butterfly Coquette
Lophospingus griseocristatus,BirdLife International,2024,e.T22723140A263311628,10.2305/IUCN.UK.2024-2.RLTS.T22723140A263311628.en,7 February 2025,LC,Passeriformes,Thraupidae,Grey-crested Finch
Lophospingus pusillus,BirdLife International,2024,e.T22723137A263311812,10.2305/IUCN.UK.2024-2.RLTS.T22723137A263311812.en,7 February 2025,LC,Passeriformes,Thraupidae,Black-crested Finch
Lophostrix cristata,BirdLife International,2018,e.T22689177A130160501,10.2305/IUCN.UK.2018-2.RLTS.T22689177A130160501.en,7 February 2025,LC,Strigiformes,Strigidae,Crested Owl
Lophotibis cristata,BirdLife International,2024,e.T22697504A254926243,10.2305/IUCN.UK.2024-2.RLTS.T22697504A254926243.en,7 February 2025,VU,Pelecaniformes,Threskiornithidae,Madagascar Crested Ibis
Lophotis gindiana,BirdLife International,2024,e.T22691960A263663322,10.2305/IUCN.UK.2024-2.RLTS.T22691960A263663322.en,7 February 2025,LC,Otidiformes,Otididae,Buff-crested Bustard
